place_id,name,address,lat,lng,website,google_maps_url,primary_type,business_status,neighbourhood
ChIJgbesRQBxhlQRdZXY9IRXUCk,Annabelle's,"620 Quebec St, Vancouver, BC V6A 1X4, Canada",49.2790817,-123.1018715,http://www.annabellechoistudio.com/,https://maps.google.com/?cid=2976975582247032181&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Gastown
ChIJc8G7nyNxhlQRJzYYqcLYls0,PiCaDo,"605 W Pender St, Vancouver, BC V6B 3H5, Canada",49.284193,-123.1139037,https://picado-online-ordering.brygid.online/,https://maps.google.com/?cid=14814266354854016551&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,halal_restaurant,OPERATIONAL,Gastown
ChIJ2W6lpnlxhlQRz2vboue7W7g,New Amsterdam Cafe,"301 W Hastings St, Vancouver, BC V6B 1H6, Canada",49.2829467,-123.1099229,http://newamsterdamcafe.com/,https://maps.google.com/?cid=13284418129403538383&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant,OPERATIONAL,Gastown
ChIJxQ-OjRBxhlQRtGrW8532saQ,Monaco Cafe,"356 Water St, Vancouver, BC V6B 1B6, Canada",49.284473,-123.1102917,http://monacocafe.ca/,https://maps.google.com/?cid=11867537651359181492&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Gastown
ChIJ_VkcSnhxhlQRMAb5btxBcNw,Brioche Ristorante & Wine Bar,"103 Columbia St, Vancouver, BC V6A 3Z8, Canada",49.2836471,-123.1023553,https://mymenuweb.com/ca/restaurants/2159359/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,https://maps.google.com/?cid=15884268300746163760&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,italian_restaurant,OPERATIONAL,Gastown
ChIJd-8yM3dxhlQRBsFf2uhonzw,Birds & The Beets,"55 Powell St, Vancouver, BC V6A 1E7, Canada",49.2833828,-123.1028503,http://www.birdsandbeets.ca/,https://maps.google.com/?cid=4368325512878080262&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Gastown
ChIJFToiGEdxhlQRE06qVZel31k,Deville Coffee,"325 Seymour St, Vancouver, BC V6B 5A6, Canada",49.2853211,-123.1122239,http://www.devillecoffee.ca/,https://maps.google.com/?cid=6476076858577931795&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Gastown
ChIJK4M7oEhxhlQR1Xbw4NnJMSI,Boba Run,"102 W Hastings St, Vancouver, BC V6B 1G8, Canada",49.2818569,-123.1075825,http://www.bobarun.co/,https://maps.google.com/?cid=2463972408767313621&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tea_house,OPERATIONAL,Gastown
ChIJqXGSSnhxhlQRNFFrqldUAsI,Timbertrain Coffee Roasters - Gastown,"311 W Cordova St, Vancouver, BC V6B 4K2, Canada",49.2838891,-123.1094902,https://timbertrain.ca/,https://maps.google.com/?cid=13979828928809488692&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Gastown
ChIJObDZuTNxhlQRwZeLjjg2oTQ,Waffleland Café,"32 Water St, Vancouver, BC V6B 1A4, Canada",49.2835477,-123.1052192,http://wafflelandcafe.ca/,https://maps.google.com/?cid=3792371977760249793&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,brunch_restaurant,OPERATIONAL,Gastown
ChIJgTXf8OdxhlQRScve0U3I5s8,Aiyaohno Cafe,"425 Carrall St, Vancouver, BC V6B 6E3, Canada",49.2811762,-123.1046462,http://www.aiyaohno.com/,https://maps.google.com/?cid=14980881447053609801&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Gastown
ChIJrwusHVZyhlQR3Wyg3ZmbTvQ,Breka Bakery & Café - Kitsilano,"3750 W 4th Ave, Vancouver, BC V6R 1P3, Canada",49.2685134,-123.1867854,http://www.breka.ca/,https://maps.google.com/?cid=17604179078588427485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bakery,OPERATIONAL,Kitsilano
ChIJT7myb1hzhlQRsEFaHH_FXOU,Their There,"2042 W 4th Ave, Vancouver, BC V6J 1M9, Canada",49.267915,-123.15143,http://www.theirthere.ca/,https://maps.google.com/?cid=16527301882270073264&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,brunch_restaurant,OPERATIONAL,Kitsilano
ChIJh4_vHXhzhlQRUKimAupOsiY,KITS Cafe & Eyewear,"1500 Yew St, Vancouver, BC V6K 3E4, Canada",49.272453,-123.1547367,https://www.kits.ca/stores,https://maps.google.com/?cid=2788377886269548624&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
ChIJdZFUFLRzhlQRzOYkDuT-Q9s,49th Parallel Café & Lucky's Doughnuts - West 4th,"2198 W 4th Ave, Vancouver, BC V6K 1N7, Canada",49.268017,-123.1547852,http://luckysdoughnuts.com/,https://maps.google.com/?cid=15799752173189129932&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
ChIJucgLOlRzhlQRz-tW6NR3n5g,Lumine Coffee,"1965 W 4th Ave #103, Vancouver, BC V6J 1M8, Canada",49.2682148,-123.1496701,http://www.luminecoffee.com/,https://maps.google.com/?cid=10997640571376823247&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
